x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,pv
-1.3218405,-2.5878873,-0.29430503,-0.039419547,0.9225682,-3.368977,-0.0028001585,-6.1268425,-0.61955893,0.026885876,0.7099258,1.3518562,3.6526194,-6.8931127,1.6036618,-2.5057168,-1.240507,0.34809694,-3.3065681,0.00082836836,0.18579258,1.384987,-0.9144608,2.3561385,1.5248952,-1.7432238,-2.131302,-3.5052297,0.04163883,-2.7564843,0.5055841,4.3780594,-1.1476198,-4.8359756,1.561771,3.9718175,0.63255304,-3.137232,-0.043307338,1.2759753,-1.2647055,0.23053826,2.9148862,-0.67916024,-1.6376654,-1.3596236,-0.71806425,-0.7601681,0.5387354,-1.9988345,0.7242402,1.2111049,-1.8712623,3.080087,1.6593766,2.1361217,-0.99278355,1.9145775,-0.80670977,1.609028,2.0766811,4.526043,1.1602038,-3.6227593,1.4811698,1.0371333,1.9308319,-0.35823095,2.7246914,-3.8848944,0.72104436,0.19299188,-2.587969,-0.7381868,-2.558646,1.4301485,2.7520764,-3.3138692,1.9317291,-0.49565467,2.6425748,2.3838134,-6.7826834,-3.5783122,1.9062291,-0.67196023,2.3898826,-0.4238281,4.122478,1.8876954,-1.1363118,4.3745184,-1.7585343,-2.9226713,-1.6598204,2.8454435,0.07172451,-1.5650191,2.2680275,-0.9334852,Adobe-Consulting-Services_acs-aem-commons_acs-aem-commons-3.14.10
-2.567606,-2.02288,-1.0483904,-1.2452762,0.2866833,-2.7742631,-0.4753421,-5.301873,-0.94394827,-0.6592125,-0.61683685,0.36984026,3.9519315,-7.5345874,0.94748324,-1.8570923,-1.2397184,1.3239646,-3.3342788,-0.19251841,-0.22982156,1.457432,0.83946985,1.6230315,2.6355667,-1.536695,-1.9022996,-3.4327323,0.4571963,-2.5591245,2.2446802,5.3589582,-0.45484164,-5.3778067,2.0697105,3.5086317,1.5456733,-2.67392,0.15946645,0.84555495,-1.2533109,-0.4275893,2.8467634,-1.053167,-2.3630414,-0.67368275,-1.1734242,-0.4160904,0.5954846,-1.43993,0.5478736,2.3454814,-2.115712,3.5199199,0.17601089,2.2399974,-1.4818931,-0.49499303,-1.0719506,1.1490707,1.5325153,4.6825876,1.7432603,-3.6283565,0.66703117,0.1687877,2.8532174,-1.027966,2.3212788,-4.8731427,2.0285342,-0.45466667,-2.973865,-1.3159648,-0.16463748,3.1794438,2.6050246,-4.1103745,2.155908,2.4816067,3.164716,2.8787415,-7.0364494,-4.7092686,2.586177,-2.3941073,2.040068,0.27574518,4.556983,0.76140314,-1.7875643,2.5640378,-3.177561,-1.5823072,-2.0125096,2.6644907,1.6699992,-2.1090705,2.1002147,-1.7010391,Adobe-Consulting-Services_acs-aem-commons_acs-aem-commons-3.19.0
2.8695412,0.21529847,-9.687478,-0.67241454,10.001808,9.080069,-16.52461,-2.0467386,-4.9905844,2.3392146,5.4422064,1.9983728,-4.1343594,-2.2185647,3.3674464,-4.5758524,-6.4479527,0.880741,-11.59021,-4.735316,-4.4954076,-2.4824417,-5.6097956,-2.548806,-4.912426,-12.783273,4.5146523,2.448929,8.174031,-7.3181825,3.404016,2.8135762,2.6510139,0.6652454,0.6628489,3.762218,-2.4339204,3.0727568,4.697866,9.342498,-2.6574864,-1.2747786,2.4937546,-9.311708,0.53688025,-2.7634242,4.5826683,-4.786368,1.8796883,-6.4936676,0.74254084,3.2514331,-3.5360515,-0.49074265,7.184078,-0.24239302,-8.735818,-2.663084,3.6533248,15.177423,-3.338892,8.445939,-0.38562864,-4.2734413,1.1443594,-7.0863395,0.3993396,-9.40713,-5.609692,-6.483867,-5.346268,-3.3048232,-13.251744,-5.1909394,-9.81789,-4.8544736,1.7828887,0.7787029,5.690082,-3.5338976,6.6995373,7.633279,1.271633,-12.669498,12.867986,9.064328,7.764329,-0.82726526,12.82813,-5.5496106,-0.66142106,5.41197,-6.202885,-12.711446,-5.696152,0.42065012,9.7228775,-5.645793,0.42031074,4.520967,Azure_azure-sdk-for-java_v1.0.0-beta1+fixes
-0.18960804,-2.733663,-2.404453,1.5999075,2.331467,0.91184276,-0.67841685,-4.0324826,-6.6369123,3.7062862,3.9743648,-3.2743986,0.16702649,-0.79895574,5.8371077,-0.41263804,0.31405732,2.587458,-3.5777817,-0.916726,-0.7526336,-2.7169886,1.0816787,3.6877525,1.3441532,-1.8591846,-5.45905,-4.8077607,-2.6173375,-0.042336494,-0.20867266,-2.6892807,0.081409656,-3.2196558,1.3018477,-0.05982061,-0.20694946,-2.6486113,8.59603,-1.5831991,-3.5537453,-0.62453717,2.3598766,-5.842415,-2.078112,1.5674218,0.8971905,-2.9820876,6.6495194,-2.2552426,-3.2968593,-2.9008746,-1.1864767,-1.4785193,-2.2088459,-3.020131,-1.948734,3.2188764,-0.4236968,6.263374,0.16181819,1.6044939,-2.0223522,-4.5390706,5.732215,-6.9146886,-0.9697546,0.6122654,3.7599747,-5.0384398,-0.93869275,2.8582087,-5.8729515,0.40195155,-5.4854517,1.965283,-3.0458682,-3.2107995,-0.3848977,-2.679485,4.297725,0.78931946,1.9184446,-2.0472543,0.75652105,-3.2043955,6.185735,-3.9543977,-3.3599753,2.6304686,-3.0034633,0.55079675,-2.9902554,0.4837294,-5.188223,5.0693297,3.3782759,-0.7046895,2.9354508,2.4969375,Bammerbom_UltimateCore_2.1.25
-0.00053738,-0.009828606,0.0077569988,-0.0068314923,-0.0018900776,-0.009832036,0.003747803,0.007782849,-0.0065795113,0.008963471,0.008979556,-0.00085326674,0.0049269474,-0.0054691257,-0.00692951,-0.0069982065,0.0019359946,-0.0019277,-0.009270643,0.00700207,0.0043893014,0.0007303369,-0.002304722,0.0024757325,-0.0053616907,-0.0020824946,0.0014660918,-0.0012212527,-0.003965148,-0.0038948297,0.006210276,-0.0098284725,0.0096495785,0.007837138,0.0049880757,-0.0059988163,-0.009448198,-0.0009915304,-0.008796906,-0.005130713,-0.0058102547,-0.006561873,0.0061116945,-0.0075437496,-0.0023034394,0.0017677773,0.007624018,0.005480028,-0.0052737473,0.004223356,-0.0069520543,0.0036780762,-0.00124547,0.007941364,0.004870149,0.0073755146,-9.043098e-05,0.0018499744,-0.007489401,0.009082967,0.00654642,0.006279118,0.007226689,0.008423215,0.00663819,0.0006418574,-0.007766893,0.0048366426,0.0074587693,-0.0014583969,0.004886712,-0.0068729282,-0.0053832293,0.008096278,0.007703376,0.006392573,-0.009294907,-0.009060754,0.0011453867,-0.0006788564,-0.00024932146,-0.001042701,0.0070670666,-0.008032627,0.0077018104,0.003593868,-0.0066134776,0.0076135444,-0.009222334,0.009519482,0.009842071,0.005580964,0.0033271455,0.0049027097,0.007616911,-0.0062262537,-0.0016855716,-0.008603478,-0.007853912,0.0073968433,FluentLenium_FluentLenium_.ipynb_checkpoints
-0.11200055,-0.240027,0.31320128,0.6950553,1.0584358,0.69404036,-0.7771774,-0.466961,-1.1497899,-0.107026994,-0.1296899,0.2979456,0.4309633,-0.36384198,0.4821392,0.3943598,-0.16805075,0.32391238,-0.85902697,0.29837143,-0.04097528,0.29759756,-0.3493704,0.8562046,0.023577387,-0.3558217,-0.5769772,-0.856093,0.79787964,0.21069062,0.611276,0.14960894,-0.82615256,-0.5469437,0.39460933,-0.086636715,-0.44814262,0.0841852,0.44489518,0.2627767,-0.6097185,-0.23213886,-0.077745855,-0.55681026,0.7639434,-0.57297987,0.5611539,-1.1522268,0.6058481,-0.13630664,-0.076043114,0.46492958,-0.11773542,0.00303788,-0.24666537,0.1234173,1.112699,-0.28934565,-0.3704471,1.1538208,0.2915134,0.25403056,0.5946648,-0.18562819,1.0086031,-0.08201205,-0.15028521,-0.2653458,-0.45213357,-1.1657677,-0.7236971,-0.80741996,0.3631472,-0.89519274,-0.33253357,0.70532167,-0.1401098,-0.22977668,1.0996472,-0.0031411573,0.33644655,-0.012320355,-0.6430225,-0.066854045,-0.045947034,-0.11374972,0.74577594,0.30275282,0.4475756,0.30773044,-0.13564694,0.66828763,-1.0982126,-1.2054849,-1.0867691,0.09862966,-0.24065211,-0.42389688,1.156458,-0.25413823,FluentLenium_FluentLenium_v0.13.1
0.41712666,-3.3498926,-3.041089,0.5321272,0.5963508,-1.1906952,-2.0864556,-2.63742,-0.7198699,0.09349081,-1.478981,1.0767224,0.8931618,-3.7979875,-1.573257,-1.413771,-1.154599,0.37837738,0.88746566,-0.5310096,-3.5270526,1.4341217,0.14896551,1.1614604,3.6184812,-2.0949168,-2.5006287,-2.8573027,1.0550002,-1.2676079,3.0583806,0.01167315,-0.0097435275,-0.9774204,0.2922534,0.9221013,-0.5565518,-1.4948797,0.8048355,-1.5158759,-1.4634752,-2.957153,0.56025827,-1.7962481,-1.2581115,-2.1219807,2.6450214,1.9851998,0.24870646,-3.4726646,-0.7188485,2.2957003,-2.867798,-1.8297548,-1.2786891,1.679121,0.57054865,-0.21125807,0.59351265,3.1178281,-0.9510684,1.4981775,2.0624583,-1.8222477,0.30956575,-3.0700362,-0.15774769,-0.88745993,3.2964883,-2.8144317,-0.33950862,2.1937208,-1.5013095,-0.083874725,-0.741016,3.56941,-0.2784689,-3.7931755,1.5159839,0.86640674,-0.6733619,2.9048147,-0.3712572,-1.2396983,-0.37854412,-3.2358947,3.3354933,-5.1957927,3.6676474,-0.077236615,-0.6260952,3.284832,-1.8755524,-2.665261,-4.089835,2.8962393,-0.5183666,-0.22895643,0.5906346,-0.7093123,FluentLenium_FluentLenium_v3.5.2
0.007950455,-0.00018805146,-0.0050133658,-0.009045517,-0.0045291292,0.0050591812,-0.007959392,-0.00012828589,0.00090859295,-0.0027140426,0.00078350544,-0.0007069862,0.0025234926,-0.007540119,-0.0025048924,0.008331911,0.002233274,-0.008064831,-0.004991568,0.008117008,0.0046508373,0.00877867,-0.0019178081,-0.003408072,-0.00068978785,-0.004499304,-0.004960307,-0.009231728,-0.0016172099,0.0049946522,-0.0047169733,0.0037243045,0.0072964025,-0.0024059904,0.00085998775,0.00010568619,0.0027693773,0.007380992,0.009886648,0.0061419103,0.0059561813,0.007516576,-0.0020154917,0.0045375717,-0.002798829,-0.0077596162,0.0058349217,0.0027221728,0.0015488792,0.008714589,0.0027450575,-0.00521374,-0.0028074742,0.0035742498,0.008180628,-0.009799643,-0.004888831,0.0054905973,-0.003382522,-0.0063402667,-0.0021542334,-0.0089183375,-0.00471306,0.0011051857,0.0063762832,-0.0019132579,0.0025845421,0.0072941254,0.0026289618,0.009912515,-0.008564725,-0.0002775347,0.0038867437,0.007649311,0.008478238,-0.0025412096,-0.0043013967,0.008063562,0.0099826725,0.0043808534,-0.0040823235,0.008584342,-0.008373962,-0.00810854,0.0056577907,0.003616613,0.009179963,-0.008658396,-0.0041563367,-0.009480714,-0.0042317617,0.0030425023,-0.008955907,-0.0026585842,-0.0017632223,0.009704723,0.005268084,-0.003820443,0.0047143744,-0.004376882,GIScience_openrouteservice_.ipynb_checkpoints
-0.024830736,-4.0441837,-3.5609515,2.0743246,3.681065,0.5376651,-1.5469415,-4.1214347,-0.517358,2.931734,0.34389988,1.1635685,-6.388684,-0.8045264,3.0569215,-4.3230724,-4.1134515,-1.0464563,-5.6738253,0.22355469,-2.2894974,2.119048,1.6496605,1.7834402,-0.7264974,-0.80133337,0.6155278,-3.6315985,3.3030446,-3.7576427,0.9880096,-0.1382605,-0.033915002,-1.2613837,-2.8838668,-4.759816,1.2676146,3.9633856,-1.5015366,0.9124037,1.3199612,1.8524241,1.0130345,-2.8435495,-0.18022569,0.024284733,-1.2524297,-0.33695713,2.6717806,1.0705315,4.4019117,2.9696732,-3.7823026,0.4200884,-4.041621,0.52676874,1.0086685,0.990492,2.8013115,4.131052,0.27686462,3.1674798,3.236386,0.24448165,3.58584,-0.7613792,-1.42544,-4.677574,1.9143885,-1.5630867,-0.97681874,-0.6281388,-2.4608114,2.674052,-3.597692,2.30676,2.9419646,-0.1340449,-1.364105,5.393666,1.5650419,0.5551837,-2.1393068,-3.312553,4.4095325,2.6455357,0.035345014,-1.2635231,0.80783874,2.2383487,-6.6185975,2.4765272,-3.053934,-3.4810097,-0.9333096,3.6912735,2.1447606,-3.7315707,1.1936004,-2.3524897,GIScience_openrouteservice_v4.3.1
0.24062496,-6.4285293,-2.3970556,-1.572082,0.013565301,-0.8511102,-0.086123355,-8.206514,1.0520724,2.7787209,4.1032724,2.0933523,1.7107828,-7.1023774,0.67520887,-1.9864826,-1.23984,2.888676,-2.707019,3.0389585,-5.204424,-0.37719673,0.39553243,2.595381,3.2976072,-3.622799,-1.9151051,-3.017178,3.4529529,0.033318333,1.532851,0.27963373,-2.2072167,-2.0911758,2.2711961,1.0018497,0.6182068,-2.350916,2.8113527,4.747188,-0.71079487,-2.5289626,0.97253865,-6.881739,-0.72822976,-6.3331304,3.4899867,-1.6139443,1.502706,-3.6939497,-1.7848535,2.200033,-2.4173858,-1.35922,1.1370473,0.72446984,-0.69216865,2.125176,-1.0274767,5.414999,-0.141092,7.203688,1.133098,-1.2452928,3.2959762,-2.922145,1.251526,-3.4520645,3.8555992,-7.732325,-1.4439054,1.6683851,-4.159574,-4.516576,-3.337613,3.3671134,-2.3933551,-4.517976,2.960846,1.7175418,4.438426,2.6292121,-8.206669,-2.8123312,1.2771908,-3.545067,5.553386,-3.6601748,0.68044376,1.995783,-0.8503604,2.7340877,-1.9845121,-4.3629813,-3.2410293,-2.2270877,2.921974,-1.9740858,5.937513,-5.4449744,GoClipse_goclipse_v0.13.0
